Intervention,Trial_Count,Active_Hope_Count,Failed_Count,Completed_Count,Mean_Success_Score,Mean_Failure_Index,Pathways,Repurposing_Opportunity_Score
"general anesthesia group: induction propofol 1.5-2mg/kg and fentanyl 1-3g/kg, maintained with isoflurane or sevoflurane",1,0,0,0,55.0,60.0,Amyloid; Tau; Synaptic / Cognitive; Lifestyle / Digital,24.0
genistein,2,1,0,1,32.5,67.5,Amyloid; Synaptic / Cognitive,24.0
attention process training (apt-ii),1,0,0,1,50.0,58.0,Synaptic / Cognitive; Lifestyle / Digital,24.0
pf-04494700 - high dose arm,1,0,0,1,50.0,55.0,Unspecified / Other,24.0
pf-04494700 - low dose arm,1,0,0,1,50.0,55.0,Unspecified / Other,24.0
varenicline,1,0,0,1,50.0,55.0,Synaptic / Cognitive,24.0
vi-1121,1,0,0,1,50.0,55.0,Unspecified / Other,24.0
coaching,1,0,0,1,50.0,57.0,Unspecified / Other,24.0
coaching group,1,0,0,1,50.0,57.0,Unspecified / Other,24.0
cognitive stress tests during functional mri,1,0,0,1,50.0,58.0,Synaptic / Cognitive,24.0
cognitive stress tests during gait task,1,0,0,1,50.0,58.0,Synaptic / Cognitive,24.0
lactate infusion,1,0,0,1,50.0,58.0,Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital,24.0
cognitive-behavioral group therapy,1,0,0,1,50.0,58.0,Synaptic / Cognitive; Lifestyle / Digital,24.0
intergenerational music program,1,0,0,1,50.0,58.0,Synaptic / Cognitive; Lifestyle / Digital,24.0
18f-florbetaben pet,1,0,0,1,50.0,58.0,Amyloid; Tau; Cholinergic,24.0
intervention,3,0,0,2,34.666666666666664,67.0,Unspecified / Other; Synaptic / Cognitive; Lifestyle / Digital,23.866666666666667
dotarem,1,1,0,0,42.0,66.0,Amyloid; Tau; Synaptic / Cognitive,23.8
lock sleep program,1,1,0,0,42.0,65.0,Lifestyle / Digital,23.8
pain identification and communication toolkit,1,1,0,0,42.0,65.0,Synaptic / Cognitive,23.8
supermicrosurgical lymphaticovenular anastomosis (lva),1,1,0,0,42.0,66.0,Amyloid; Tau; Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital,23.8
ex039,1,1,0,0,42.0,63.0,Cholinergic,23.8
lumason,1,1,0,0,42.0,66.0,Amyloid; Tau; Synaptic / Cognitive,23.8
cellready® drug product iv dose of 100 millions,1,1,0,0,42.0,66.0,Neuroinflammation; Synaptic / Cognitive,23.8
stool samples,1,1,0,0,42.0,66.0,Synaptic / Cognitive,23.8
pace program,1,1,0,0,42.0,65.0,Synaptic / Cognitive; Lifestyle / Digital,23.8
7t mri,1,1,0,0,42.0,66.0,Synaptic / Cognitive,23.8
deep cervical lymph node to venous bypass (dclnv-bp),1,1,0,0,42.0,66.0,Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive,23.8
cpg1018,1,3,0,0,17.0,83.0,Synaptic / Cognitive,23.8
memantine hydrochloride,2,0,0,1,44.5,59.5,Synaptic / Cognitive; Cholinergic; NMDA / Glutamate; Lifestyle / Digital; Synaptic / Cognitive; NMDA / Glutamate,23.8
ur5e,1,1,0,0,42.0,66.0,Amyloid; Tau; Synaptic / Cognitive,23.8
cerebral rmi,1,1,0,0,42.0,66.0,Neuroinflammation; Synaptic / Cognitive,23.8
emerald device monitoring,1,1,0,0,42.0,66.0,Synaptic / Cognitive; Lifestyle / Digital,23.8
op-tracker app,1,1,0,0,42.0,65.0,Lifestyle / Digital,23.8
ohs-interrai,1,1,0,0,42.0,65.0,Lifestyle / Digital,23.8
ai-based cognitive training,1,1,0,0,42.0,65.0,Synaptic / Cognitive; Lifestyle / Digital,23.8
repetetive transcranial magnetic stimulation,1,1,0,0,42.0,66.0,Neuroinflammation; Synaptic / Cognitive; Metabolic / Mitochondrial,23.8
cellready® drug product iv dose of 50 millions,1,1,0,0,42.0,66.0,Neuroinflammation; Synaptic / Cognitive,23.8
pupillometry,2,0,0,1,44.5,59.5,Amyloid; Synaptic / Cognitive; Lifestyle / Digital; Synaptic / Cognitive,23.8
neuraceq,2,1,1,0,42.0,69.5,Amyloid; Tau; Synaptic / Cognitive; Lifestyle / Digital; Synaptic / Cognitive,23.8
initial periodontal therapy,1,1,0,0,42.0,66.0,Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive; Vascular,23.8
computerized anxiety sensitivity treatment,1,1,0,0,42.0,65.0,Synaptic / Cognitive,23.8
urine test,1,1,0,0,42.0,66.0,Amyloid; Tau; Synaptic / Cognitive,23.8
vagus nerve stimulation modulation of the coeruleus-norepinephrine network,1,1,0,0,42.0,66.0,Synaptic / Cognitive,23.8
lithium orotate,1,1,0,0,42.0,66.0,Synaptic / Cognitive; Lifestyle / Digital,23.8
[11c]hsp990 pet test-retest,1,1,0,0,42.0,66.0,Unspecified / Other,23.8
[11c]hsp990 pet dosimetry,1,1,0,0,42.0,66.0,Unspecified / Other,23.8
porchlight,1,1,0,0,42.0,65.0,Synaptic / Cognitive,23.8
health promotion program,1,1,0,0,42.0,65.0,Synaptic / Cognitive,23.8
neural stem cell-derived exosomes,1,1,0,0,42.0,66.0,Synaptic / Cognitive; Lifestyle / Digital,23.8
[18f]ft8,1,1,0,0,42.0,66.0,Amyloid,23.8
mivelsiran,1,1,0,0,42.0,63.0,Unspecified / Other,23.8
novel lighting condition,1,1,0,0,42.0,65.0,Unspecified / Other,23.8
"handwriting, gait, speech, eye movements, biological samples (blood, urine, stool, saliva, etc.), images, eeg, and other relevant markers",1,1,0,0,42.0,65.0,Synaptic / Cognitive; Lifestyle / Digital,23.8
extended release niacin,1,1,0,0,42.0,66.0,Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive; Lifestyle / Digital,23.8
[11c]hsp990 simplified scan protocol,1,1,0,0,42.0,66.0,Unspecified / Other,23.8
neuropsychologic test (moca),1,1,0,0,42.0,66.0,Synaptic / Cognitive,23.8
adrd-pc program,1,0,0,1,49.0,58.0,Vascular,23.6
mail and live phone,1,0,0,1,49.0,58.0,Synaptic / Cognitive,23.6
community-based dementia care,1,0,0,1,49.0,58.0,Unspecified / Other,23.6
personalized care preceded by a standardized assessment,1,0,0,1,49.0,58.0,Unspecified / Other,23.6
global care and support program,1,0,0,1,49.0,58.0,Synaptic / Cognitive,23.6
overprescribing letter to attributed physician,1,0,0,1,49.0,58.0,Unspecified / Other,23.6
cnp520 15mg,1,0,1,0,59.0,66.0,Amyloid; Synaptic / Cognitive,23.6
interactive voice response (ivr),1,0,0,1,49.0,58.0,Synaptic / Cognitive,23.6
cnp520 50mg,1,0,1,0,59.0,66.0,Amyloid; Synaptic / Cognitive,23.6
personalized app-based safety decision aid,1,0,0,1,49.0,58.0,Unspecified / Other,23.6
standard therapy of alzheimer dementia (ad),1,0,0,1,49.0,58.0,Unspecified / Other,23.6
palliative care,1,0,0,1,49.0,58.0,Synaptic / Cognitive; Vascular,23.6
rdad,1,0,0,1,49.0,58.0,Synaptic / Cognitive,23.6
educational materials - patient & clinician,1,0,0,1,49.0,58.0,Unspecified / Other,23.6
braincheck assessment,1,0,0,1,49.0,58.0,Synaptic / Cognitive,23.6
dementia care consultation program,1,0,0,1,49.0,58.0,Unspecified / Other,23.6
home-based computer kiosk,1,0,0,1,49.0,58.0,Synaptic / Cognitive,23.6
[18f]av-45 pet amyloid binding imaging,2,0,0,0,49.0,59.0,Amyloid; Synaptic / Cognitive,23.6
reach for tlc (telephone linked computer) system,1,0,0,1,49.0,58.0,Unspecified / Other,23.6
brief psychoeducational intervention,1,0,0,1,49.0,58.0,Lifestyle / Digital,23.6
brain safe app,1,0,0,1,49.0,58.0,Synaptic / Cognitive,23.6
e-predictd intervention,1,0,0,1,49.0,58.0,Lifestyle / Digital,23.6
old school hip-hop,1,0,0,1,49.0,58.0,Unspecified / Other,23.6
this is not an intervention study,1,0,0,1,49.0,58.0,Synaptic / Cognitive,23.6
uplift-ad,1,0,0,1,49.0,58.0,Unspecified / Other,23.6
micrnas test,1,0,0,1,49.0,58.0,Unspecified / Other,23.6
care of persons with dementia in their environments,1,0,0,1,49.0,58.0,Unspecified / Other,23.6
ppi-1019 (apan),2,0,0,2,39.0,66.0,Unspecified / Other,23.6
traditional evaluation instruments,1,0,0,1,49.0,58.0,Synaptic / Cognitive,23.6
acp video program,1,0,0,1,49.0,58.0,Unspecified / Other,23.6
hd-tdcs,2,0,0,2,39.0,65.0,Synaptic / Cognitive; Lifestyle / Digital; Synaptic / Cognitive; Cholinergic,23.6
my plate,1,0,0,1,49.0,58.0,Unspecified / Other,23.6
skill training condition - problem solving training,1,0,0,1,49.0,58.0,Unspecified / Other,23.6
boost (r) 5-2 diet,1,0,0,1,49.0,59.0,Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital,23.6
multidisciplinary team meetings (mdtm),1,0,0,1,49.0,58.0,Unspecified / Other,23.6
home based intervention,1,0,0,1,49.0,59.0,Unspecified / Other,23.6
healthy living diet,1,0,0,1,49.0,59.0,Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital,23.6
levodopa,1,0,0,0,54.0,54.0,Synaptic / Cognitive,23.6
sra-444,2,0,0,2,39.0,66.0,Unspecified / Other,23.6
health system-based dementia care,1,0,0,1,49.0,58.0,Unspecified / Other,23.6
screening only,1,0,0,1,49.0,58.0,Synaptic / Cognitive,23.6
little journey app,1,0,0,1,49.0,58.0,Unspecified / Other,23.6
15 o water,1,0,0,1,49.0,59.0,Metabolic / Mitochondrial; Vascular,23.6
verubecestat (part i and part ii),1,0,3,0,69.0,59.0,Amyloid; Tau; Synaptic / Cognitive,23.6
lacosamide 100 mg,1,0,0,0,54.0,54.0,Synaptic / Cognitive,23.6
cognitive test,1,1,0,0,41.0,67.0,Synaptic / Cognitive,23.400000000000002
egb 761® (tanakan®),2,0,1,1,48.5,64.0,Amyloid; Synaptic / Cognitive,23.400000000000002
semorinemab,2,0,1,1,48.5,65.0,Unspecified / Other,23.400000000000002
real-time quaking-induced conversion (rt-quic),1,1,0,0,41.0,67.0,Synaptic / Cognitive,23.400000000000002
motor examination,1,1,0,0,41.0,67.0,Synaptic / Cognitive,23.400000000000002
pf-04360365 10 mg/kg,2,0,0,2,38.5,66.5,Unspecified / Other,23.4
bryostatin 1,3,0,1,2,38.333333333333336,66.66666666666667,Unspecified / Other; Synaptic / Cognitive; NMDA / Glutamate,23.333333333333336
spironolactone,1,0,0,1,48.0,60.0,Synaptic / Cognitive,23.200000000000003
exercise training program,1,0,0,1,48.0,60.0,Synaptic / Cognitive; Cholinergic; Lifestyle / Digital,23.200000000000003
haloperidol-haloperidol,1,0,0,1,48.0,60.0,Unspecified / Other,23.200000000000003
dbs off,1,0,0,1,48.0,62.0,Synaptic / Cognitive,23.200000000000003
physical exercise,2,0,0,2,38.0,66.0,Synaptic / Cognitive; Lifestyle / Digital,23.200000000000003
newgam 10% ivig,1,0,0,1,48.0,60.0,Synaptic / Cognitive,23.200000000000003
dbs-f on,2,0,0,2,38.0,69.5,Synaptic / Cognitive; Unspecified / Other,23.200000000000003
galantamine (reminyl),1,0,0,1,48.0,57.0,Synaptic / Cognitive; Cholinergic,23.200000000000003
thn 201,1,0,0,1,48.0,57.0,Synaptic / Cognitive; Cholinergic,23.200000000000003
skills training for the care of dementia patients,1,0,0,1,48.0,60.0,Unspecified / Other,23.200000000000003
heal-122 microcurrent electroceutical with e-textile sports knee sleeve,1,0,0,0,53.0,60.0,Neuroinflammation; Lifestyle / Digital,23.200000000000003
blood brain barrier (bbb) disruption,2,1,0,1,30.5,74.5,Unspecified / Other,23.200000000000003
11c-pbr28,1,0,0,1,48.0,60.0,Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive,23.200000000000003
scopolamine patch,1,0,0,1,48.0,60.0,Amyloid; Synaptic / Cognitive,23.200000000000003
tms and cognitive stimulation,1,0,0,1,48.0,57.0,Synaptic / Cognitive; Lifestyle / Digital,23.200000000000003
safelyyou fall prevention system,1,0,0,0,53.0,59.0,Synaptic / Cognitive; Lifestyle / Digital,23.200000000000003
apoe disclosure,1,0,0,1,48.0,59.0,Synaptic / Cognitive,23.200000000000003
fd&c blue # 2,1,0,0,1,48.0,60.0,Synaptic / Cognitive; Vascular,23.200000000000003
the maphabit system (mhs),1,0,0,1,48.0,57.0,Synaptic / Cognitive,23.200000000000003
empagliflozin (jardiance) 25 mg,1,0,0,1,48.0,60.0,Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital,23.200000000000003
riluzole,1,0,0,1,48.0,60.0,Synaptic / Cognitive; Cholinergic; NMDA / Glutamate; Metabolic / Mitochondrial,23.200000000000003
dextroamphetamine,1,0,0,1,48.0,60.0,Cholinergic,23.200000000000003
computerized plasticity-based software,1,0,0,1,48.0,57.0,Synaptic / Cognitive; Lifestyle / Digital,23.200000000000003
thalidomide,1,0,0,0,53.0,63.0,Unspecified / Other,23.200000000000003
commercially available video game,1,0,0,1,48.0,57.0,Synaptic / Cognitive; Lifestyle / Digital,23.200000000000003
drug: evp-6124,2,0,2,0,58.0,67.0,Cholinergic,23.200000000000003
escitalopram (lexapro),1,0,0,1,48.0,60.0,Lifestyle / Digital,23.200000000000003
atropine,1,0,0,1,48.0,60.0,Synaptic / Cognitive; Cholinergic; Lifestyle / Digital,23.200000000000003
add-on high dose astragalus,1,0,0,0,53.0,55.0,Synaptic / Cognitive,23.200000000000003
ucb-j,1,0,0,1,48.0,60.0,Amyloid; Tau; Synaptic / Cognitive; Metabolic / Mitochondrial; Vascular,23.200000000000003
medication therapy management (mtm),1,0,0,1,48.0,60.0,Amyloid; Synaptic / Cognitive,23.200000000000003
cosie app,1,0,0,1,48.0,59.0,Lifestyle / Digital,23.200000000000003
trappsol (r) cyclo (tm),1,0,0,0,53.0,60.0,Amyloid; Tau; Synaptic / Cognitive; Lifestyle / Digital,23.200000000000003
phenazopyridine hydrochloride,1,0,0,1,48.0,60.0,Synaptic / Cognitive; Vascular,23.200000000000003
rebuilder,1,0,0,1,48.0,57.0,Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive; Metabolic / Mitochondrial; Vascular; Lifestyle / Digital,23.200000000000003
behavior change technique package,2,0,0,2,38.0,62.0,Unspecified / Other,23.200000000000003
memantine (namenda®),1,0,0,1,48.0,60.0,Synaptic / Cognitive; Cholinergic; NMDA / Glutamate,23.200000000000003
memscreen,1,0,0,0,53.0,59.0,Synaptic / Cognitive; Lifestyle / Digital,23.200000000000003
methylene blue,1,0,0,1,48.0,60.0,Synaptic / Cognitive; Vascular,23.200000000000003
brain health program,1,0,0,1,48.0,57.0,Synaptic / Cognitive; Lifestyle / Digital,23.200000000000003
triplea,1,0,0,1,48.0,57.0,Unspecified / Other,23.200000000000003
androgel (solvay pharmaceuticals),1,0,0,1,48.0,60.0,Synaptic / Cognitive,23.200000000000003
yangxue qingnao pills,1,0,0,0,53.0,55.0,Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive,23.200000000000003
clinicgram euclides,1,0,0,1,48.0,57.0,Lifestyle / Digital,23.200000000000003
cholinergic antagonist,1,0,0,1,48.0,60.0,Amyloid; Tau; Synaptic / Cognitive; Cholinergic; Lifestyle / Digital,23.200000000000003
18f-flutemetamol pet/mri,1,0,0,0,53.0,63.0,Amyloid; Neuroinflammation; Vascular,23.200000000000003
add-on low dose astragalus,1,0,0,0,53.0,55.0,Synaptic / Cognitive,23.200000000000003
individualized management of ad including caregiver training,1,0,0,1,48.0,60.0,Synaptic / Cognitive; NMDA / Glutamate,23.200000000000003
"intervention will most probably modify activity of neuron networks in specific brain areas responsible for cognitive functions, especially memory consolidation.",1,0,0,1,48.0,57.0,Synaptic / Cognitive,23.200000000000003
experimental meal,1,0,0,1,48.0,60.0,Amyloid; Neuroinflammation; Metabolic / Mitochondrial; Vascular; Lifestyle / Digital,23.200000000000003
htl0018318,1,0,0,1,48.0,62.0,Unspecified / Other,23.200000000000003
apoe genetic susceptibility testing,1,0,0,1,48.0,59.0,Synaptic / Cognitive,23.200000000000003
valacyclovir,1,0,0,1,48.0,60.0,Amyloid; Tau; Synaptic / Cognitive,23.200000000000003
jaci-35.054,1,0,0,2,43.0,67.0,Tau; Synaptic / Cognitive,23.2
vg-3927,1,0,0,2,43.0,62.0,Unspecified / Other,23.2
bnh-015b 40 mg (mad),1,1,0,0,40.0,65.0,Neuroinflammation; Synaptic / Cognitive; NMDA / Glutamate; Lifestyle / Digital,23.0
music training - intensive,1,1,0,0,40.0,65.0,Tau; Synaptic / Cognitive,23.0
bnh-015b 40 mg (part ii),1,1,0,0,40.0,65.0,Neuroinflammation; Synaptic / Cognitive; NMDA / Glutamate; Lifestyle / Digital,23.0
bnh-015b 5 mg,1,1,0,0,40.0,65.0,Neuroinflammation; Synaptic / Cognitive; NMDA / Glutamate; Lifestyle / Digital,23.0
picture description task,1,1,0,0,40.0,60.0,Synaptic / Cognitive,23.0
bnh-015b 40 mg (dietary impact),1,1,0,0,40.0,65.0,Neuroinflammation; Synaptic / Cognitive; NMDA / Glutamate; Lifestyle / Digital,23.0
bnh-015b 10 mg,1,1,0,0,40.0,65.0,Neuroinflammation; Synaptic / Cognitive; NMDA / Glutamate; Lifestyle / Digital,23.0
bnh-015b 80 mg (mad),1,1,0,0,40.0,65.0,Neuroinflammation; Synaptic / Cognitive; NMDA / Glutamate; Lifestyle / Digital,23.0
bnh-015b 80 mg,1,1,0,0,40.0,65.0,Neuroinflammation; Synaptic / Cognitive; NMDA / Glutamate; Lifestyle / Digital,23.0
pmn310,1,1,0,0,40.0,65.0,Unspecified / Other,23.0
gaitrite walkway system or 4-meter walking speed test,1,1,0,0,40.0,60.0,Synaptic / Cognitive,23.0
music training - minimal,1,1,0,0,40.0,65.0,Tau; Synaptic / Cognitive,23.0
as-s603,1,1,0,0,40.0,65.0,Amyloid; Tau,23.0
bnh-015b 80 mg (part ii),1,1,0,0,40.0,65.0,Neuroinflammation; Synaptic / Cognitive; NMDA / Glutamate; Lifestyle / Digital,23.0
bnh-015b 160 mg,1,1,0,0,40.0,65.0,Neuroinflammation; Synaptic / Cognitive; NMDA / Glutamate; Lifestyle / Digital,23.0
bnh-015b 40 mg,1,1,0,0,40.0,65.0,Neuroinflammation; Synaptic / Cognitive; NMDA / Glutamate; Lifestyle / Digital,23.0
bnh-015b 20 mg,1,1,0,0,40.0,65.0,Neuroinflammation; Synaptic / Cognitive; NMDA / Glutamate; Lifestyle / Digital,23.0
heartbot ii program,1,1,0,0,40.0,60.0,Synaptic / Cognitive,23.0
aro-mapt-sc,1,1,0,0,40.0,65.0,Synaptic / Cognitive,23.0
intravenous infusion of mononuclear cells from umbilical cord blood,1,1,0,0,40.0,68.0,Tau; Neuroinflammation; Cholinergic,23.0
door-through-door companion rideshare,1,1,0,0,40.0,65.0,Synaptic / Cognitive,23.0
vestibular physical therapy,2,1,0,1,30.0,70.0,Synaptic / Cognitive; Unspecified / Other,23.0
verbal fluency,1,1,0,0,40.0,60.0,Synaptic / Cognitive,23.0
use of pancreasplus app,1,1,0,0,40.0,60.0,Tau; Synaptic / Cognitive; Lifestyle / Digital,23.0
aricept tablet,1,1,0,0,40.0,65.0,Cholinergic,23.0
cognitive behavioral therapy with in vivo exposure,1,1,0,0,40.0,60.0,Synaptic / Cognitive,23.0
vy7523,1,1,0,0,40.0,65.0,Unspecified / Other,23.0
cognitive behavorial therapy with in vivo exposure plus symptoms-jit,1,1,0,0,40.0,60.0,Synaptic / Cognitive,23.0
supol,1,1,0,0,40.0,60.0,Synaptic / Cognitive; Lifestyle / Digital,23.0
autobiographical semi-structured conversation,1,1,0,0,40.0,60.0,Synaptic / Cognitive,23.0
ro7812653,1,1,0,0,40.0,70.0,Unspecified / Other,23.0
dietary pattern: medi,1,1,0,0,40.0,60.0,Synaptic / Cognitive; Lifestyle / Digital,23.0
rgn600,1,1,0,0,40.0,65.0,Neuroinflammation; Synaptic / Cognitive,23.0
part 3 ks101,1,1,0,0,40.0,65.0,Unspecified / Other,23.0
part 2 without food,1,1,0,0,40.0,65.0,Unspecified / Other,23.0
part 1 ks101,1,1,0,0,40.0,65.0,Unspecified / Other,23.0
part 2 with food,1,1,0,0,40.0,65.0,Unspecified / Other,23.0
jamar hand dynamometer,1,1,0,0,40.0,60.0,Synaptic / Cognitive,23.0
ak152,1,1,0,0,40.0,65.0,Unspecified / Other,23.0
strength-based intervention,1,1,0,0,40.0,60.0,Synaptic / Cognitive,23.0
ly4006895,1,1,0,0,40.0,65.0,Unspecified / Other,23.0
"diprivan (propofol), astra-zeneca",1,1,0,0,40.0,65.0,Synaptic / Cognitive; Metabolic / Mitochondrial; Vascular; Lifestyle / Digital,23.0
ophthalmological exam,1,1,0,0,40.0,67.0,Synaptic / Cognitive,23.0
tep/irm,1,1,0,0,40.0,68.0,Amyloid; Tau; Synaptic / Cognitive,23.0
curb-to-curb rideshare services,1,1,0,0,40.0,65.0,Synaptic / Cognitive,23.0
"conventional medical treatment：donepezil, rivastigmine or galantamine",1,1,0,0,40.0,68.0,Tau; Neuroinflammation; Cholinergic,23.0
non-pharmacological app,1,1,0,0,40.0,60.0,Unspecified / Other,23.0
aln-5288,1,1,0,0,40.0,70.0,Unspecified / Other,23.0
nsc001,1,1,0,0,40.0,65.0,Synaptic / Cognitive,23.0
gammasense stimulation system (active settings),1,1,0,0,40.0,65.0,Synaptic / Cognitive,23.0
dementia caregivers' link to assistance and resources (declare),1,1,0,0,40.0,60.0,Unspecified / Other,23.0
transcutaneous auricular vagus nerve stimulation (tavns),1,1,0,0,40.0,60.0,Synaptic / Cognitive,23.0
anesthesia-induced sleep therapy,1,1,0,0,40.0,65.0,Synaptic / Cognitive; Metabolic / Mitochondrial; Vascular; Lifestyle / Digital,23.0
problem-solving-based psychological intervention,1,1,0,0,40.0,60.0,Unspecified / Other,23.0
prosomnia sleep therapy™ (pstx),1,1,0,0,40.0,65.0,Synaptic / Cognitive; Metabolic / Mitochondrial; Vascular; Lifestyle / Digital,23.0
8m2d,1,1,0,0,40.0,65.0,Amyloid; Lifestyle / Digital,23.0
continuous eeg monitoring,1,1,0,0,40.0,65.0,Synaptic / Cognitive; Metabolic / Mitochondrial; Vascular; Lifestyle / Digital,23.0
blood pressure measurement,1,1,0,0,40.0,67.0,Synaptic / Cognitive,23.0
evp-6124,3,0,2,1,47.333333333333336,68.33333333333333,Synaptic / Cognitive; Cholinergic; NMDA / Glutamate; Synaptic / Cognitive; NMDA / Glutamate; Unspecified / Other,22.933333333333334
specimen sample,1,0,0,0,52.0,60.0,Amyloid,22.8
jnj-63733657,2,0,1,1,47.0,66.5,Unspecified / Other; Synaptic / Cognitive,22.8
valaciclovir 500mg tablet,1,0,0,1,47.0,61.0,Synaptic / Cognitive,22.8
acitretin,1,0,0,1,47.0,61.0,Unspecified / Other,22.8
social activity,2,0,0,2,37.0,63.0,Lifestyle / Digital; Synaptic / Cognitive; Lifestyle / Digital,22.8
structured lifestyle intervention,2,0,0,1,42.0,65.0,Synaptic / Cognitive; Lifestyle / Digital; Synaptic / Cognitive; Vascular; Lifestyle / Digital,22.8
grape powder,1,0,0,1,47.0,61.0,Synaptic / Cognitive; Metabolic / Mitochondrial,22.8
repetitive transcranial magnetic coil stimulation (rtms),1,0,0,1,47.0,61.0,Synaptic / Cognitive,22.8
empagliflozin 10 mg,1,0,0,1,47.0,61.0,Amyloid; Synaptic / Cognitive; Metabolic / Mitochondrial; Vascular,22.8
curcumin c3 complex,1,0,0,1,47.0,61.0,Neuroinflammation; Synaptic / Cognitive; Metabolic / Mitochondrial,22.8
daratumumab injection,1,0,0,1,47.0,61.0,Unspecified / Other,22.8
alphatocopherol,1,0,0,1,47.0,65.0,Synaptic / Cognitive; Metabolic / Mitochondrial,22.8
all subjects,1,0,0,1,47.0,61.0,Amyloid; Tau; Synaptic / Cognitive,22.8
montelukast,1,0,0,1,47.0,61.0,Amyloid; Neuroinflammation; Synaptic / Cognitive; Vascular; Lifestyle / Digital,22.8
telephone support,2,0,0,2,37.0,63.0,Synaptic / Cognitive,22.8
filgrastim (75mcg/0.3ml),1,0,0,1,47.0,61.0,Amyloid; Tau; Synaptic / Cognitive; Cholinergic,22.8
selenium,1,0,0,1,47.0,65.0,Synaptic / Cognitive; Metabolic / Mitochondrial,22.8
multivitamin,1,0,0,0,52.0,68.0,Synaptic / Cognitive,22.8
hf0220,1,0,0,1,47.0,63.0,Unspecified / Other,22.8
nilotinib capsule(s) once a day by mouth,1,0,0,1,47.0,61.0,Amyloid; Tau; Synaptic / Cognitive,22.8
late onset alzheimer's disease (load) neuropsychological battery test,1,1,0,0,39.0,68.0,Amyloid,22.6
medical questionnaire,1,1,0,0,39.0,68.0,Synaptic / Cognitive,22.6
timed up-and-go dual-task (tugdt),1,1,0,0,39.0,68.0,Synaptic / Cognitive,22.6
liraglutide,2,0,0,1,41.5,62.5,Amyloid; Tau; Synaptic / Cognitive; Metabolic / Mitochondrial; Vascular; Unspecified / Other,22.6
kidney disease,1,1,0,0,39.0,68.0,Synaptic / Cognitive; Cholinergic,22.6
biosample collection.,1,1,0,0,39.0,68.0,Synaptic / Cognitive,22.6
ly3372993,2,0,0,2,36.5,68.5,Unspecified / Other,22.6
"the lawton instrumental activities of daily living score (iadl), and the disability assessment of dementia score (dad-6",1,1,0,0,39.0,68.0,Synaptic / Cognitive,22.6
timed up-and-go (tug single-task),1,1,0,0,39.0,68.0,Synaptic / Cognitive,22.6
neuro-qol questionnaire,1,1,0,0,39.0,68.0,Synaptic / Cognitive,22.6
clinical functional assessment,1,1,0,0,39.0,68.0,Synaptic / Cognitive,22.6
neuropsychology tests,1,0,0,0,51.0,57.0,Synaptic / Cognitive,22.400000000000002
assessment of physical activity via fitness tracker/diary,1,0,0,0,51.0,57.0,Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital,22.400000000000002
neuropsychological examinations,1,0,0,1,46.0,62.0,Tau; Synaptic / Cognitive; Vascular,22.400000000000002
apolipoprotein e genotyping,1,0,0,0,51.0,57.0,Synaptic / Cognitive,22.400000000000002
biomarker,1,0,0,0,51.0,57.0,Amyloid; Tau; Synaptic / Cognitive,22.400000000000002
neuropsychological test,1,0,0,1,46.0,62.0,Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive; Metabolic / Mitochondrial,22.400000000000002
exercise education,1,0,0,1,46.0,62.0,Tau; Synaptic / Cognitive; Lifestyle / Digital,22.400000000000002
blood and csf biomarker,1,0,0,1,46.0,62.0,Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive; Metabolic / Mitochondrial,22.400000000000002
sleep surgery,1,0,0,0,51.0,57.0,Amyloid; Tau; Synaptic / Cognitive; Lifestyle / Digital,22.400000000000002
assessment of memory,1,0,0,0,51.0,57.0,Synaptic / Cognitive,22.400000000000002
nacc cognitive battery,1,0,0,0,51.0,57.0,Neuroinflammation; Synaptic / Cognitive,22.400000000000002
high and low meal ingestion,1,0,0,1,46.0,62.0,Amyloid; Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital,22.400000000000002
csf,1,0,0,1,46.0,62.0,Amyloid,22.400000000000002
blood plasma and serum sampling,1,0,0,0,51.0,57.0,Neuroinflammation; Synaptic / Cognitive,22.400000000000002
positron-emission tomography (tep) /(fdg),1,0,0,0,51.0,57.0,Amyloid; Tau; Synaptic / Cognitive,22.400000000000002
pittsburgh compound b [11c]-pib,1,0,0,0,51.0,64.0,Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive; Metabolic / Mitochondrial; Vascular; Lifestyle / Digital,22.400000000000002
f18-av45,1,0,0,0,51.0,57.0,Amyloid; Tau; Synaptic / Cognitive,22.400000000000002
diagnosis of mci versus no mci (sci or healthy patient),1,0,0,0,51.0,57.0,Synaptic / Cognitive,22.400000000000002
